cycle,cage_id,plant_id,cultivar,aphid_treatment,watering_treatment,day,gwc,mV,primary_tillers,secondary_tillers,total_tillers,leaf_no_ms,dev_stage,MS_nodes,stems_with_nodes,plant_height_cm,SPAD,whole_plant_aphids,tiller_1_aphids,tiller_2_aphids,any_dead,aphid_count,log_aphid_count,root ,shoot ,ratio 
1,A,Left_A,bere,no,w,0,83.7468,344,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA
1,A,Left_A,bere,no,w,1,163.0149,737,3,0,3,3,31,1,2,10,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA
1,A,Left_A,bere,no,w,6,142.6432,636,4,2,6,4,31,1,2,18,34.8,NA,NA,NA,FALSE,NA,NA,NA,NA,NA
1,A,Left_A,bere,no,w,9,191.2529,877,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA
1,A,Left_A,bere,no,w,13,200.9345,925,NA,NA,NA,NA,NA,NA,NA,NA,23.6,NA,NA,NA,FALSE,NA,NA,NA,NA,NA
1,A,Left_A,bere,no,w,15,155.9554,702,3,2,5,3,32,2,2,21,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA
1,A,Left_A,bere,no,w,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA
1,A,Left_A,bere,no,w,21,181.1679,827,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA
1,A,Left_A,bere,no,w,23,NA,NA,4,2,6,4,32,2,2,21,11.2,NA,NA,NA,FALSE,NA,NA,NA,NA,NA
1,A,Left_A,bere,no,w,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA
