plant_id,cycle,cultivar,treatment ,old_mass ,young_mass,ln_old,ln_young,RGR,,,,,,,,,
E_left,cycle 1,Laureate,W,0.145,0.051,-1.931021537,-2.975929646,0.348302703,,,,,,,,,
E_left,cycle 1,Laureate,W,0.283,0.069,-1.262308381,-2.673648774,0.470446798,,,,,,,,,
G_left,cycle 1,Laureate,W,0.126,0.072,-2.071473372,-2.63108916,0.186538596,,,,,,,,,
E_left,cycle 1,Laureate,W,0.243,0.078,-1.414693836,-2.551046452,0.378784206,,,,,,,,,
E_left,cycle 1,Laureate,W,0.363,0.08,-1.013352445,-2.525728644,0.5041254,,,,,,,,,
G_left,cycle 1,Laureate,W,0.176,0.101,-1.737271284,-2.292634762,0.185121159,,,,,,,,,
G_left,cycle 1,Laureate,W,0.205,0.114,-1.5847453,-2.171556831,0.195603844,,,,,,,,,
G_right,cycle 1,Laureate,D,0.3,0.067,-1.203972804,-2.70306266,0.499696618,,,,,,,,,
G_right,cycle 1,Laureate,D,0.459,0.069,-0.778705069,-2.673648774,0.631647902,,,,,,,,,
G_right,cycle 1,Laureate,D,0.207,0.075,-1.575036486,-2.590267165,0.338410227,,,,,,,,,
G_right,cycle 1,Laureate,D,0.237,0.082,-1.439695138,-2.501036032,0.353780298,,,,,,,,,
G_right,cycle 1,Laureate,D,0.476,0.091,-0.742337425,-2.396895772,0.551519449,,,,,,,,,
E_right,cycle 1,Laureate,D,0.361,0.092,-1.018877321,-2.385966702,0.45569646,,,,,,,,,
E_right,cycle 1,Laureate,D,0.374,0.093,-0.983499482,-2.375155786,0.463885435,,,,,,,,,
E_right,cycle 1,Laureate,D,0.225,0.1,-1.491654877,-2.302585093,0.270310072,,,,,,,,,
E_right,cycle 1,Laureate,D,0.338,0.179,-1.084709383,-1.720369473,0.211886697,,,,,,,,,
G_left,cycle 2,Laureate ,W,0.22,0.078,-1.514127733,-2.551046452,0.345639573,,,,,,,,,
E_left,cycle 2,Laureate ,W,0.365,0.084,-1.007857925,-2.47693848,0.489693518,,,,,,,,,
E_left,cycle 2,Laureate ,W,0.298,0.117,-1.210661792,-2.145581344,0.311639851,,,,,,,,,
E_left,cycle 2,Laureate ,W,0.446,0.132,-0.807436327,-2.024953356,0.40583901,,,,,,,,,
G_left,cycle 2,Laureate ,W,0.254,0.248,-1.370421012,-1.394326533,0.007968507,,,,,,,,,
G_left,cycle 2,Laureate ,W,0.29,0.285,-1.237874356,-1.255266099,0.005797248,,,,,,,,,
H_left,cycle 2,Laureate ,D,0.16,0.055,-1.832581464,-2.900422094,0.355946877,,,,,,,,,
F_left,cycle 2,Laureate ,D,0.448,0.175,-0.802962047,-1.742969305,0.313335753,,,,,,,,,
F_left,cycle 2,Laureate ,D,0.68,0.29,-0.385662481,-1.237874356,0.284070625,,,,,,,,,
F_left,cycle 2,Laureate ,D,0.469,0.332,-0.757152511,-1.10262031,0.115155933,,,,,,,,,
E_right,cycle 2,Bere,W,0.204,0.079,-1.589635285,-2.538307427,0.316224047,,,,,,,,,
E_right,cycle 2,Bere,W,0.243,0.085,-1.414693836,-2.465104022,0.350136729,,,,,,,,,
F_right,cycle 2,Bere,D,0.188,0.096,-1.671313316,-2.343407088,0.224031257,,,,,,,,,
G_right,cycle 2,Bere,D,0.222,0.103,-1.505077897,-2.273026291,0.255982798,,,,,,,,,
G_right,cycle 2,Bere,D,0.235,0.152,-1.448169765,-1.883874758,0.145234998,,,,,,,,,
F_right,cycle 2,Bere,D,0.18,0.152,-1.714798428,-1.883874758,0.056358777,,,,,,,,,
G_right,cycle 2,Bere,D,0.312,0.184,-1.164752091,-1.692819521,0.176022477,,,,,,,,,
